Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,TypeofContact,Occupation,Gender,ProductPitched,MaritalStatus,Designation
44,1,8,3,1,3,2,1,4,1,0,22879,Self Enquiry,Salaried,Female,Standard,Married,Senior Manager
35,3,20,3,4,3,3,0,1,1,2,27306,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
47,3,7,4,4,5,3,0,2,1,2,29131,Self Enquiry,Small Business,Female,Standard,Married,Senior Manager
32,1,6,3,3,4,2,0,3,1,0,21220,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
59,1,9,3,4,3,6,0,2,1,2,21157,Self Enquiry,Large Business,Male,Basic,Single,Executive
44,3,11,2,3,4,1,0,5,1,1,33213,Self Enquiry,Small Business,Male,King,Divorced,VP
32,1,35,2,4,4,2,0,3,1,0,17837,Self Enquiry,Salaried,Female,Basic,Single,Executive
27,3,7,3,4,3,3,0,5,0,2,23974,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
38,3,8,2,4,3,4,0,5,1,1,20249,Company Invited,Salaried,Male,Deluxe,Divorced,Manager
32,1,12,3,4,3,2,1,4,1,1,23499,Self Enquiry,Large Business,Male,Basic,Married,Executive
40,1,30,3,3,3,2,0,3,1,1,18319,Self Enquiry,Large Business,Male,Deluxe,Married,Manager
38,1,20,3,4,3,3,0,1,0,1,22963,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
35,3,6,3,3,3,2,0,5,1,0,23789,Company Invited,Small Business,Fe Male,Standard,Unmarried,Senior Manager
35,1,8,3,3,5,2,1,1,1,1,17074,Self Enquiry,Salaried,Female,Basic,Married,Executive
34,1,17,3,6,3,2,0,5,0,1,22086,Self Enquiry,Small Business,Male,Basic,Married,Executive
33,1,36,3,5,4,3,0,3,1,1,21515,Self Enquiry,Salaried,Female,Basic,Unmarried,Executive
51,1,15,3,3,3,4,0,3,1,0,17075,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
29,3,30,2,1,5,2,0,3,1,1,16091,Company Invited,Large Business,Male,Basic,Single,Executive
34,3,25,3,2,3,1,1,2,1,2,20304,Company Invited,Small Business,Male,Deluxe,Single,Manager
38,1,14,2,4,3,6,0,2,0,1,32342,Self Enquiry,Small Business,Male,Standard,Single,Senior Manager
