Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,TypeofContact,Occupation,Gender,ProductPitched,MaritalStatus,Designation
26,2,23,2,3,3,1,1,5,0,1,17741,Company Invited,Salaried,Female,Basic,Married,Executive
42,1,6,2,4,3,1,1,3,0,1,21062,Self Enquiry,Salaried,Female,Deluxe,Divorced,Manager
56,1,9,4,4,4,5,0,1,0,2,29654,Company Invited,Salaried,Male,Standard,Married,Senior Manager
27,3,36,4,6,5,2,0,3,1,2,23647,Company Invited,Small Business,Male,Deluxe,Unmarried,Manager
37,1,9,4,4,3,6,0,5,1,1,21221,Self Enquiry,Salaried,Female,Basic,Divorced,Executive
31,2,28,2,5,3,2,0,1,0,1,24852,Self Enquiry,Salaried,Male,Basic,Married,Executive
49,3,8,3,4,4,3,0,3,1,2,20390,Company Invited,Small Business,Male,Deluxe,Married,Manager
43,1,16,2,3,3,1,0,5,0,0,17455,Company Invited,Salaried,Female,Basic,Single,Executive
40,3,9,3,2,3,2,0,1,0,1,26558,Self Enquiry,Salaried,Male,Standard,Unmarried,Senior Manager
58,1,31,3,3,3,5,1,4,1,2,28117,Self Enquiry,Salaried,Male,Standard,Married,Senior Manager
56,1,27,3,4,3,5,1,2,1,2,24093,Self Enquiry,Large Business,Male,Deluxe,Divorced,Manager
56,3,12,2,2,5,1,0,3,1,0,28212,Company Invited,Salaried,Female,Super Deluxe,Divorced,AVP
52,3,34,3,4,3,3,1,5,1,2,32704,Self Enquiry,Salaried,Male,Deluxe,Single,Manager
36,1,7,3,5,5,3,1,1,1,0,25252,Self Enquiry,Large Business,Female,Standard,Married,Senior Manager
24,1,15,2,4,4,2,0,5,1,0,17694,Company Invited,Salaried,Male,Basic,Married,Executive
30,3,14,3,3,3,6,0,3,1,0,22264,Self Enquiry,Salaried,Male,Standard,Married,Senior Manager
25,1,15,2,3,5,4,0,1,1,0,17096,Self Enquiry,Salaried,Male,Basic,Single,Executive
37,1,11,3,5,3,3,0,5,1,2,24488,Self Enquiry,Salaried,Male,Deluxe,Unmarried,Manager
20,1,16,2,3,3,2,1,5,1,1,16009,Self Enquiry,Small Business,Male,Basic,Single,Executive
44,3,11,3,5,3,5,0,3,1,1,28909,Self Enquiry,Small Business,Female,Standard,Single,Senior Manager
29,3,12,4,4,3,3,0,3,0,2,23586,Self Enquiry,Small Business,Male,Deluxe,Unmarried,Manager
36,1,14,3,4,3,5,0,3,0,2,28899,Self Enquiry,Salaried,Male,Standard,Single,Senior Manager
49,1,11,4,5,3,2,0,5,1,2,29677,Self Enquiry,Salaried,Male,Standard,Single,Senior Manager
36,1,12,2,2,3,4,0,2,0,0,18038,Self Enquiry,Salaried,Female,Deluxe,Divorced,Manager
41,3,9,3,4,4,2,0,1,0,1,24393,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
34,2,10,3,4,4,5,1,5,0,2,20955,Self Enquiry,Salaried,Male,Basic,Married,Executive
30,3,9,3,4,3,3,0,2,0,1,23232,Company Invited,Salaried,Male,Deluxe,Unmarried,Manager
45,1,13,3,3,5,2,0,2,1,2,20210,Company Invited,Salaried,Male,Standard,Married,Senior Manager
56,1,27,3,4,3,5,1,1,0,1,24093,Self Enquiry,Large Business,Male,Deluxe,Married,Manager
18,1,11,3,3,3,2,0,1,0,1,16051,Company Invited,Salaried,Male,Basic,Single,Executive
40,1,7,3,2,3,2,0,3,1,1,28291,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
33,1,6,3,3,3,2,1,3,1,0,17686,Self Enquiry,Salaried,Male,Basic,Single,Executive
31,3,12,2,5,3,3,0,1,1,1,24796,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
29,1,13,3,5,3,3,1,4,1,1,21381,Company Invited,Salaried,Male,Basic,Married,Executive
44,1,23,3,5,3,3,0,4,1,1,17290,Company Invited,Salaried,Male,Basic,Single,Executive
38,1,12,3,5,3,1,1,2,0,2,20329,Company Invited,Small Business,Female,Deluxe,Married,Manager
36,1,22,2,1,5,2,0,1,1,0,17743,Self Enquiry,Salaried,Female,Basic,Single,Executive
30,3,13,2,3,4,1,0,1,0,0,17983,Self Enquiry,Small Business,Male,Basic,Single,Executive
37,3,12,3,3,3,5,0,3,0,0,21502,Self Enquiry,Small Business,Male,Deluxe,Divorced,Manager
49,3,36,4,4,3,5,0,4,0,2,31182,Self Enquiry,Small Business,Female,Standard,Married,Senior Manager
26,1,9,3,4,3,8,1,5,0,1,22655,Self Enquiry,Salaried,Male,Basic,Married,Executive
36,3,14,4,4,3,3,0,3,1,1,21082,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
39,1,36,3,4,3,3,0,3,1,1,21084,Company Invited,Salaried,Female,Deluxe,Single,Manager
35,1,9,2,4,3,2,0,1,1,1,16281,Company Invited,Salaried,Male,Basic,Married,Executive
51,1,6,1,4,5,4,0,2,1,0,22484,Company Invited,Small Business,Female,Standard,Unmarried,Senior Manager
37,3,8,3,3,3,5,1,3,0,2,24602,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
28,1,10,3,4,3,3,0,1,0,1,20384,Company Invited,Small Business,Male,Basic,Married,Executive
35,3,14,3,4,3,5,1,5,1,2,25377,Company Invited,Small Business,Female,Standard,Married,Senior Manager
31,1,14,3,5,4,3,0,5,0,1,20819,Self Enquiry,Small Business,Male,Basic,Married,Executive
31,2,24,2,1,5,1,0,1,1,0,17956,Self Enquiry,Salaried,Male,Basic,Married,Executive
30,1,7,4,2,3,2,1,3,0,2,24972,Company Invited,Salaried,Male,Deluxe,Unmarried,Manager
35,1,22,3,3,3,5,1,1,0,0,22632,Self Enquiry,Salaried,Male,Standard,Married,Senior Manager
46,3,13,3,5,3,8,0,4,1,1,27543,Company Invited,Small Business,Fe Male,Standard,Unmarried,Senior Manager
21,3,28,3,2,3,3,0,3,1,2,21356,Self Enquiry,Small Business,Male,Basic,Unmarried,Executive
30,3,33,2,3,3,1,0,3,1,0,20304,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
37,3,10,3,5,3,6,0,1,0,1,28377,Company Invited,Small Business,Male,Standard,Married,Senior Manager
48,3,10,3,4,3,2,1,5,1,1,32448,Company Invited,Small Business,Female,Super Deluxe,Married,AVP
36,1,16,3,4,3,3,0,4,0,2,23776,Self Enquiry,Small Business,Male,Deluxe,Unmarried,Manager
49,1,8,2,3,3,4,0,3,1,0,34161,Company Invited,Salaried,Male,King,Married,VP
33,1,6,2,4,3,1,0,4,1,1,21949,Self Enquiry,Salaried,Female,Deluxe,Unmarried,Manager
20,1,10,4,4,4,3,0,3,1,3,20161,Self Enquiry,Small Business,Female,Basic,Single,Executive
30,3,7,3,5,3,8,1,1,1,2,21478,Self Enquiry,Small Business,Female,Basic,Married,Executive
32,1,30,4,5,3,2,0,3,1,2,24260,Self Enquiry,Small Business,Male,Deluxe,Divorced,Manager
58,1,8,2,3,4,1,1,3,1,0,34246,Self Enquiry,Salaried,Male,King,Single,VP
29,1,9,3,5,3,3,1,4,1,1,22545,Company Invited,Salaried,Male,Basic,Divorced,Executive
33,1,13,3,4,3,5,0,1,0,2,21716,Self Enquiry,Salaried,Male,Basic,Unmarried,Executive
35,3,6,3,3,4,2,0,4,0,0,22295,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
42,1,11,3,3,3,5,0,3,0,1,17093,Company Invited,Salaried,Male,Basic,Married,Executive
42,1,29,2,3,3,3,0,3,0,0,30992,Self Enquiry,Salaried,Female,Super Deluxe,Single,AVP
48,1,8,3,1,4,6,0,2,0,2,17559,Self Enquiry,Large Business,Male,Basic,Single,Executive
27,3,14,2,3,4,2,0,2,0,0,21214,Self Enquiry,Small Business,Female,Deluxe,Divorced,Manager
22,3,29,3,4,3,3,0,2,1,2,22125,Self Enquiry,Large Business,Male,Basic,Unmarried,Executive
28,1,30,3,4,5,2,0,2,0,0,23722,Company Invited,Large Business,Male,Standard,Unmarried,Senior Manager
38,1,21,4,4,5,3,0,4,1,1,21712,Self Enquiry,Salaried,Female,Basic,Married,Executive
41,1,18,2,3,3,2,0,4,1,1,34545,Self Enquiry,Large Business,Female,King,Married,VP
50,1,30,3,3,3,4,1,4,1,2,28973,Self Enquiry,Salaried,Male,Super Deluxe,Married,AVP
35,3,7,4,2,3,2,0,5,0,2,28403,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
21,1,18,4,5,5,3,1,3,0,2,21278,Self Enquiry,Small Business,Female,Basic,Unmarried,Executive
